file                                         nc  order  window  rate   norm  pol  unc  phases                   
-------------------------------------------  --  -----  ------  -----  ----  ---  ---  -------------------------
basicphaseae_ethz.onnx                       3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_geofon.onnx                     3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_instance.onnx                   3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_iquique.onnx                    3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_lendb.onnx                      3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_neic.onnx                       3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_scedc.onnx                      3   ZNE    600     100.0  std   -    -    P,S,N                    
basicphaseae_stead.onnx                      3   ZNE    600     100.0  std   -    -    P,S,N                    
eqcctp_original.onnx                         3   ZNE    6000    100.0  std   -    -    P                        
eqccts_original.onnx                         3   ZNE    6000    100.0  std   -    -    S                        
eqtp_ncedc.onnx                              3   ZNE    12000   100.0  std   yes  -    Polarity_U,Polarity_D,P,S
eqtransformer_ethz.onnx                      3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_geofon.onnx                    3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_instance.onnx                  3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_iquique.onnx                   3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_lendb.onnx                     3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_neic.onnx                      3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_original.onnx                  3   ZNE    6000    100.0  std   -    -    Detection,P,S            
eqtransformer_original_nonconservative.onnx  3   ZNE    6000    100.0  std   -    -    Detection,P,S            
eqtransformer_scedc.onnx                     3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_stead.onnx                     3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
eqtransformer_volpick.onnx                   3   ZNE    6000    100.0  peak  -    -    Detection,P,S            
obstransformer_obst2024.onnx                 3   ZNE    6000    100.0  std   -    -    Detection,P,S            
phasenet_aq2009.onnx                         3   ZNE    3001    100.0  std   -    -    P,S,N                    
phasenet_diting.onnx                         3   ZNE    3001    50.0   std   -    -    N,P,S                    
phasenet_ethz.onnx                           3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_geofon.onnx                         3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_instance.onnx                       3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_iquique.onnx                        3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_jma.onnx                            3   ZNE    3001    100.0  std   -    -    P,S,N                    
phasenet_jma_wc.onnx                         3   ZNE    3001    100.0  std   -    -    P,S,N                    
phasenet_lendb.onnx                          3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_neic.onnx                           3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_original.onnx                       3   ENZ    3001    100.0  std   -    -    N,P,S                    
phasenet_phasenet_sn.onnx                    3   ENZ    3001    100.0  std   -    -    N,P,S                    
phasenet_pisdl.onnx                          3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_scedc.onnx                          3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_stead.onnx                          3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenet_volpick.onnx                        3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_ethz.onnx                      3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_geofon.onnx                    3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_instance.onnx                  3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_iquique.onnx                   3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_lendb.onnx                     3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_neic.onnx                      3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_scedc.onnx                     3   ZNE    3001    100.0  peak  -    -    P,S,N                    
phasenetlight_stead.onnx                     3   ZNE    3001    100.0  peak  -    -    P,S,N                    
skynet_original.onnx                         3   ENZ    30000   100.0  peak  -    -    P,S,N                    
skynet_original_multiphase.onnx              3   ENZ    30000   100.0  peak  -    -    P,S,N                    
